Timestamp,Value
2025-04-11 23:37:27.176,1936
2025-04-11 23:37:27.227,1950
2025-04-11 23:37:27.229,1984
2025-04-11 23:37:27.230,1975
2025-04-11 23:37:27.284,1935
2025-04-11 23:37:27.284,1965
2025-04-11 23:37:27.285,1981
2025-04-11 23:37:27.345,1920
2025-04-11 23:37:27.345,1927
2025-04-11 23:37:27.393,1936
2025-04-11 23:37:27.393,1941
2025-04-11 23:37:27.393,1936
2025-04-11 23:37:27.459,1945
2025-04-11 23:37:27.459,1931
2025-04-11 23:37:27.459,1979
2025-04-11 23:37:27.516,1915
2025-04-11 23:37:27.517,1895
2025-04-11 23:37:27.570,1891
2025-04-11 23:37:27.570,1968
2025-04-11 23:37:27.570,1999
2025-04-11 23:37:27.625,1949
2025-04-11 23:37:27.625,1991
2025-04-11 23:37:27.625,2018
2025-04-11 23:37:27.676,1936
2025-04-11 23:37:27.677,1904
2025-04-11 23:37:27.741,1914
2025-04-11 23:37:27.741,1957
2025-04-11 23:37:27.741,1989
2025-04-11 23:37:27.788,1973
2025-04-11 23:37:27.798,1984
2025-04-11 23:37:27.798,1952
2025-04-11 23:37:27.902,1981
2025-04-11 23:37:27.902,1997
2025-04-11 23:37:27.903,1953
2025-04-11 23:37:27.903,1936
2025-04-11 23:37:27.903,1952
2025-04-11 23:37:27.957,1952
2025-04-11 23:37:27.958,1983
2025-04-11 23:37:27.958,1986
2025-04-11 23:37:28.021,1961
2025-04-11 23:37:28.021,1956
2025-04-11 23:37:28.068,1907
2025-04-11 23:37:28.068,1911
2025-04-11 23:37:28.068,1940
2025-04-11 23:37:28.132,1926
2025-04-11 23:37:28.133,1939
2025-04-11 23:37:28.133,1977
2025-04-11 23:37:28.191,2018
2025-04-11 23:37:28.191,1987
